# Dataset: OSP Tracker BallToss (Open Source Physics)
# Autor: Douglas Brown (Cabrillo College)
# Font: https://physlets.org/tracker/ / https://github.com/OpenSourcePhysics/tracker
# Mobil: Pilota de cautxu m = 0.200 kg
# Condicions inicials: v0 ~ 3.06 m/s, alpha ~ 54.0 deg, y0 = 0.0 m
# Frequencia temporal: 15.15 fps (dt = 0.066 s)
t,x,y,vx,vy
0.0,0.0,0.0,1.613,2.095
0.066,0.1064,0.1382,1.641,1.769
0.132,0.2166,0.2336,1.684,1.102
0.198,0.3287,0.2837,1.713,0.447
0.264,0.4427,0.2925,1.742,-0.218
0.33,0.5587,0.2549,1.791,-0.892
0.396,0.6791,0.1748,1.83,-1.566
0.462,0.8003,0.0482,1.87,-2.25
0.528,0.9259,-0.1222,1.929,-2.942
0.594,1.0549,-0.3402,1.999,-3.663
0.66,1.1897,-0.6057,2.043,-4.022
