# Dataset: Tir de 3 Punts NBA (Seguiment Optic Multicamera SportVU)
# Partit: Chicago Bulls vs Cleveland Cavaliers (27-10-2015, United Center, Chicago)
# Font cientifica: Rob Romijnders (2016), "Applying Deep Learning to Basketball Trajectories", arXiv:1608.03793
# Repositori original de descarrega: https://github.com/RobRomijnders/RNN_basketball/blob/master/data/seq_all.csv.tar.gz
# Mobil: Pilota oficial NBA Spalding (m = 0.624 kg, D = 0.240 m)
# Condicions inicials: v0 = 8.72 m/s, alpha = 54.5 deg, y0 = 2.57 m
# Frequencia temporal: 25 fps (dt = 0.040 s)
t,x,y,vx,vy
0.000,0.000,2.571,5.059,7.097
0.080,0.405,3.139,5.409,6.144
0.120,0.649,3.308,6.029,6.199
0.160,0.887,3.635,6.052,6.443
0.200,1.133,3.824,6.033,4.316
0.240,1.370,3.980,6.039,4.245
0.280,1.616,4.163,6.187,4.305
0.320,1.865,4.325,6.077,3.387
0.360,2.102,4.434,6.138,1.852
0.400,2.356,4.473,5.776,2.020
0.440,2.565,4.596,6.299,2.134
0.480,2.860,4.643,6.357,1.742
0.520,3.073,4.735,5.781,1.461
0.560,3.322,4.760,6.053,0.316
0.600,3.557,4.761,5.699,0.458
0.640,3.778,4.797,6.030,-0.086
0.680,4.040,4.754,5.960,-0.689
0.720,4.255,4.742,6.275,-0.971
0.760,4.542,4.676,6.373,-1.725
0.800,4.765,4.604,5.836,-1.961
0.840,5.009,4.519,5.235,-0.879
0.880,5.183,4.534,5.194,-0.666
0.920,5.424,4.466,5.845,-2.607
0.960,5.651,4.325,5.501,-3.407
1.000,5.864,4.193,5.738,-3.218
1.040,6.110,4.068,5.835,-3.579
1.080,6.331,3.907,5.557,-4.037
1.120,6.555,3.745,5.712,-4.405
1.160,6.788,3.555,4.676,-4.391
1.200,6.929,3.393,4.465,-4.004
1.240,7.145,3.234,3.393,-3.626
1.280,7.200,3.103,1.372,-3.277
