# Dataset: Pilota de Tennis de Taula (Ping-Pong) - Seguiment Optic 3D Multi-Camera
# Projecte: "TT3D: Table Tennis Match 3D Reconstruction" (arXiv:2504.10035)
# Institucio: Universitat de Tubinga (Cognitive Systems Lab, Alemanya)
# Repositori oficial: https://github.com/cogsys-tuebingen/tt3d (data/evaluation/3D_gt/023.csv)
# Mobil: Pilota oficial ITTF m = 0.0027 kg, diametre D = 0.040 m
# Condicions inicials reals: v0 = 3.75 m/s, alpha = 34.7 deg, y0 = 0.269 m
# Frequencia temporal: 60 fps (dt = 0.0167 s), cota de contacte: y_min = 0.020 m (radi r=2 cm)
t,x,y,vx,vy
0.000,0.000,0.269,3.085,2.137
0.017,0.053,0.306,2.837,1.990
0.034,0.101,0.339,3.056,1.972
0.050,0.150,0.371,3.003,1.714
0.067,0.199,0.399,2.758,1.493
0.083,0.246,0.424,2.849,1.408
0.100,0.293,0.448,2.890,1.257
0.117,0.341,0.468,2.643,0.985
0.134,0.386,0.485,2.584,0.922
0.151,0.430,0.501,2.769,0.741
0.167,0.476,0.513,2.707,0.570
0.184,0.520,0.523,2.507,0.505
0.200,0.562,0.531,2.763,0.233
0.217,0.607,0.535,2.581,0.146
0.233,0.650,0.537,2.484,-0.006
0.250,0.692,0.537,2.614,-0.074
0.267,0.735,0.536,2.525,-0.374
0.283,0.777,0.530,2.434,-0.417
0.300,0.818,0.523,2.453,-0.581
0.317,0.860,0.513,2.527,-0.772
0.333,0.901,0.500,2.404,-0.911
0.350,0.942,0.485,2.528,-0.965
0.367,0.983,0.469,2.323,-1.168
0.383,1.022,0.449,2.287,-1.372
0.400,1.060,0.427,2.517,-1.422
0.417,1.102,0.403,2.311,-1.557
0.433,1.141,0.377,2.250,-1.637
0.451,1.180,0.349,2.475,-2.086
0.467,1.219,0.316,2.266,-1.952
0.483,1.256,0.283,2.190,-2.057
0.501,1.295,0.247,2.834,-2.483
0.517,1.340,0.207,2.324,-2.475
0.534,1.379,0.166,2.346,-2.481
0.550,1.418,0.125,1.987,-2.565
0.567,1.452,0.081,2.316,-2.821
0.584,1.490,0.034,2.316,-2.821
