# Dataset: Tir de Basquet al Pati (Tracker Video Analysis)
# Parametres fisics: Pilota reglamentaria m = 0.620 kg, D = 0.240 m (r = 0.120 m)
# Condicions inicials reals: v0 = 7.60 m/s, alpha = 50.0 deg, y0 = 2.00 m
# Frequencia temporal: 30 fps (dt = 0.0333 s)
t,x,y,vx,vy
0.000,0.000,2.000,4.885,5.822
0.033,0.163,2.188,4.859,5.464
0.067,0.325,2.365,4.833,5.108
0.100,0.485,2.529,4.809,4.758
0.133,0.645,2.682,4.786,4.408
0.167,0.804,2.823,4.763,4.060
0.200,0.962,2.953,4.742,3.717
0.233,1.120,3.071,4.722,3.374
0.267,1.278,3.178,4.702,3.033
0.300,1.434,3.273,4.683,2.695
0.333,1.590,3.357,4.665,2.357
0.367,1.745,3.429,4.647,2.023
0.400,1.900,3.491,4.630,1.690
0.433,2.054,3.541,4.614,1.358
0.467,2.208,3.580,4.598,1.029
0.500,2.361,3.608,4.583,0.700
0.533,2.513,3.626,4.568,0.373
0.567,2.665,3.632,4.554,0.046
0.600,2.817,3.627,4.540,-0.279
0.633,2.968,3.612,4.526,-0.603
0.667,3.118,3.585,4.512,-0.925
0.700,3.268,3.548,4.498,-1.246
0.733,3.418,3.500,4.484,-1.566
0.767,3.567,3.441,4.469,-1.884
0.800,3.716,3.372,4.455,-2.200
0.833,3.864,3.292,4.440,-2.516
0.867,4.011,3.202,4.425,-2.830
0.900,4.158,3.101,4.409,-3.143
0.933,4.305,2.990,4.393,-3.454
0.967,4.451,2.868,4.376,-3.765
1.000,4.596,2.736,4.359,-4.075
1.033,4.741,2.593,4.341,-4.384
1.067,4.885,2.441,4.323,-4.692
1.100,5.029,2.278,4.304,-5.000
1.133,5.172,2.104,4.284,-5.308
1.167,5.314,1.921,4.263,-5.614
1.200,5.455,1.727,4.241,-5.922
1.233,5.596,1.523,4.218,-6.228
1.267,5.732,1.319,4.195,-6.516
1.300,5.868,1.105,4.147,-6.800
1.333,6.005,0.875,4.122,-7.085
1.367,6.142,0.633,4.097,-7.369
1.400,6.279,0.383,4.072,-7.650
1.433,6.414,0.124,4.046,-7.926
