# Dataset: Video-tracking experimental amb Tracker (Chalk-Snacker Project)
# Parametres fisics: Pilota m = 0.0698 kg, r = 0.0275 m (D = 0.055 m)
# Condicions inicials: v0 ~ 5.00 m/s, alpha ~ 58.0 deg, y0 = 0.680 m
# Frequencia temporal: 60 fps (dt = 0.0167 s)
t,x,y,vx,vy
0.0,0.0,0.68,3.412,4.118
0.017,0.058,0.75,3.0,3.97
0.033,0.099,0.811,2.485,3.697
0.05,0.14,0.872,2.412,3.382
0.067,0.181,0.926,2.647,3.265
0.084,0.23,0.983,2.636,3.455
0.1,0.268,1.04,2.515,3.212
0.117,0.313,1.089,2.529,2.647
0.134,0.354,1.13,2.727,2.485
0.15,0.403,1.171,2.727,2.485
0.167,0.444,1.212,2.529,2.147
0.184,0.489,1.244,2.636,1.97
0.2,0.531,1.277,2.758,1.848
0.217,0.58,1.305,2.647,1.559
0.234,0.621,1.33,2.529,1.206
0.251,0.666,1.346,2.848,0.97
0.267,0.715,1.362,2.848,1.0
0.284,0.76,1.379,2.412,0.735
0.301,0.797,1.387,2.636,0.485
0.317,0.847,1.395,2.879,0.242
0.334,0.892,1.395,2.647,-0.029
0.351,0.937,1.394,2.727,-0.152
0.367,0.982,1.39,2.727,-0.606
0.384,1.027,1.374,2.647,-0.618
0.401,1.072,1.369,2.529,-0.618
0.418,1.113,1.353,2.727,-1.121
0.434,1.162,1.332,2.848,-1.242
0.451,1.207,1.312,2.647,-1.324
0.468,1.252,1.287,2.606,-1.636
0.484,1.293,1.258,2.848,-2.121
0.501,1.346,1.217,2.765,-2.176
0.518,1.387,1.184,2.485,-2.121
0.534,1.428,1.147,2.727,-2.606
0.551,1.477,1.098,2.647,-2.794
0.568,1.518,1.052,2.382,-2.912
0.585,1.558,0.999,2.697,-3.364
0.601,1.607,0.941,2.606,-3.364
0.618,1.644,0.888,2.529,-3.5
0.635,1.693,0.822,2.727,-3.848
0.651,1.734,0.761,2.727,-3.727
0.668,1.783,0.699,2.647,-4.235
0.685,1.824,0.617,2.576,-4.606
0.701,1.868,0.547,2.455,-4.364
0.718,1.905,0.473,2.294,-4.471
0.735,1.946,0.395,2.529,-5.059
0.752,1.991,0.301,2.576,-5.212
0.768,2.031,0.223,2.697,-5.091
0.785,2.08,0.133,2.412,-5.441
0.802,2.113,0.038,1.941,-5.588
