# Dataset: Volant de Badmington (Tracker Video Analysis - ComPADRE OSP ID: 12086)
# Projecte: "Badminton Projectile Motion: Modeling Air Resistance"
# Institucio: American Association of Physics Teachers (AAPT) / Open Source Physics (OSP)
# Fitxa oficial: https://www.compadre.org/osp/items/detail.cfm?ID=12086
# Descarrega directa del paquet .TRZ: https://www.compadre.org/osp/document/ServeFile.cfm?ID=12086&DocID=2976&TrackerSet=1
# Mobil: Volant de badmington estandard (m = 0.005 kg, diametre faldilla D = 0.066 m)
# Condicions inicials: v0 = 17.83 m/s, alpha = 56.9 deg, y0 = 0.65 m
# Frequencia temporal: 29.97 fps (dt = 0.03337 s), cinta calibratge vertical = 1.80 m
t,x,y,vx,vy
0.000,0.000,0.651,9.751,14.932
0.033,0.325,1.149,7.771,13.865
0.067,0.519,1.576,6.095,12.494
0.100,0.732,1.983,6.704,11.884
0.133,0.966,2.369,5.942,10.361
0.167,1.129,2.674,5.485,8.837
0.200,1.332,2.959,4.868,7.128
0.267,1.616,3.388,4.367,6.179
0.300,1.769,3.577,4.155,5.358
0.334,1.893,3.745,3.609,4.812
0.367,2.010,3.898,3.281,3.827
0.400,2.112,4.001,3.171,2.624
0.434,2.222,4.074,3.171,2.624
0.467,2.324,4.176,2.624,2.406
0.501,2.397,4.234,2.624,1.640
0.534,2.499,4.285,3.062,1.203
0.567,2.601,4.314,2.406,0.656
0.601,2.659,4.329,2.187,0.000
0.634,2.747,4.314,2.406,0.000
0.667,2.820,4.329,2.406,-0.219
0.701,2.908,4.300,2.843,-0.656
0.734,3.010,4.285,2.624,-0.656
0.767,3.083,4.256,2.406,-1.203
0.801,3.170,4.205,2.515,-1.422
0.834,3.251,4.161,2.296,-1.750
0.868,3.323,4.088,2.078,-1.968
0.901,3.389,4.030,2.296,-2.296
0.934,3.477,3.935,2.296,-2.734
0.968,3.542,3.847,1.823,-3.062
1.034,3.659,3.628,2.187,-3.353
1.068,3.761,3.512,2.187,-3.171
1.101,3.805,3.417,1.203,-3.609
1.134,3.842,3.271,1.312,-4.155
1.168,3.893,3.139,1.312,-4.265
1.201,3.929,2.986,1.793,-4.812
1.335,4.192,2.337,1.881,-4.768
1.368,4.243,2.191,1.312,-5.249
1.435,4.323,1.811,1.239,-5.905
1.468,4.367,1.600,1.094,-5.796
1.502,4.396,1.425,0.984,-5.686
1.535,4.433,1.220,0.984,-5.905
1.568,4.462,1.031,0.765,-5.905
1.602,4.484,0.826,0.656,-6.124
