# Dataset: Rebot experimental de pilota de ping-pong (OpenCV Computer Vision Tracking)
# Parametres fisics: Pilota de tennis de taula m = 0.0027 kg, D = 0.040 m
# Condicions inicials: v0 ~ 3.60 m/s, alpha ~ 85.5 deg (rebot vertical-inclinat), y0 = 0.0 m
# Frequencia temporal: 60 fps (dt = 0.0168 s)
t,x,y,vx,vy
0.0,0.0,0.0,0.348,0.037
0.1172,0.0408,0.0044,0.317,0.386
0.134,0.0425,0.0518,0.121,3.34
0.1507,0.0449,0.1162,0.143,3.758
0.1674,0.0473,0.1776,0.148,3.58
0.1842,0.0498,0.2361,0.165,3.415
0.2009,0.0528,0.292,0.184,3.203
0.2177,0.056,0.3434,0.203,2.959
0.2344,0.0596,0.3911,0.222,2.76
0.2512,0.0634,0.4358,0.24,2.531
0.2679,0.0676,0.4758,0.258,2.271
0.2847,0.0721,0.5119,0.28,2.013
0.3014,0.077,0.5432,0.288,1.747
0.3181,0.0817,0.5704,0.29,1.48
0.3349,0.0867,0.5928,0.295,1.195
0.3516,0.0916,0.6104,0.316,0.92
0.3684,0.0973,0.6236,0.336,0.627
0.3851,0.1029,0.6314,0.333,0.312
0.4019,0.1085,0.6341,0.335,0.01
0.4186,0.1141,0.6317,0.347,-0.291
0.4354,0.1201,0.6243,0.349,-0.593
0.4521,0.1258,0.6119,0.346,-0.897
0.4688,0.1317,0.5943,0.342,-1.205
0.4856,0.1372,0.5715,0.347,-1.498
0.5023,0.1433,0.5441,0.357,-1.789
0.5191,0.1492,0.5116,0.352,-1.941
